Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
185.199.108.153-192.168.1.204-80-45761-6,192.168.1.204,45761,185.199.108.153,80,6,04/02/2020 09:57:24 AM,2223351,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7990861541879801,741117.0,1274169.706738078,2212389.0,240.0,2212389.0,2212389.0,0.0,2212389.0,2212389.0,10722.0,10722.0,0.0,10722.0,10722.0,0,0,0,0,40,64,0.8995430770939901,0.8995430770939901,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
185.199.108.153-192.168.1.204-80-45762-6,192.168.1.204,45762,185.199.108.153,80,6,04/02/2020 09:57:24 AM,2222921,4,4,771.0,717.0,771.0,0.0,192.75,385.5,717.0,0.0,179.25,358.5,669.3895104684332,3.5988683358517917,317560.14285714284,651473.4148864477,1762133.0,369.0,2212441.0,737480.3333333333,900900.4367416708,1762133.0,69633.0,419861.0,139953.6666666667,229924.8643999455,405427.0,4323.0,0,0,0,0,80,104,1.7994341679258958,1.7994341679258958,0.0,771.0,165.33333333333334,328.3508032577353,107814.25,0,1,0,0,0,0,0,0,1.0,186.0,192.75,179.25,0,0,0,0,0,0,4,771,4,717,-1,61,1,0,0,0,0,0,0,0,0,0,No Label
172.217.166.78-192.168.1.204-443-45760-6,192.168.1.204,45760,172.217.166.78,443,6,04/02/2020 09:57:23 AM,3042362,6,8,581.0,4360.0,517.0,0.0,96.83333333333334,207.42460477645045,1430.0,0.0,545.0,643.250673199359,1624.0670899781157,4.601687767596362,234027.84615384616,806875.329939705,2918881.0,76.0,3038702.0,607740.4,1292313.659410439,2918881.0,407.0,83208.0,11886.857142857143,18859.277508506446,52540.0,187.0,0,0,0,0,120,184,1.9721519003984405,2.6295358671979208,0.0,1430.0,329.4,528.9085527223559,279744.2571428572,0,1,0,0,0,0,0,0,1.0,352.92857142857144,96.83333333333333,545.0,0,0,0,0,0,0,6,581,8,4360,-1,242,2,0,0,0,0,0,0,0,0,0,No Label
185.199.108.153-192.168.1.204-443-45763-6,192.168.1.204,45763,185.199.108.153,443,6,04/02/2020 09:57:25 AM,1619553,221,302,3205.0,405120.0,585.0,0.0,14.502262443438914,60.87473161668591,1440.0,0.0,1341.4569536423842,310.4918878595208,252122.0361420713,322.92861054871315,3102.591954022987,18554.453169587887,373344.0,0.0,1613261.0,7333.004545454545,28325.8321648461,373344.0,57.0,1536285.0,5103.936877076411,24757.414765264464,380453.0,0.0,0,0,0,0,4420,6064,136.45740522230517,186.47120532640795,0.0,1440.0,779.2461832061069,698.4619174848466,487849.0501766086,0,1,0,0,0,0,0,0,1.0,780.736137667304,14.502262443438914,1341.4569536423842,0,0,0,0,0,0,221,3205,302,405120,-1,66,21,0,0,0,0,0,0,0,0,0,No Label
185.199.108.153-192.168.1.204-443-45763-6,185.199.108.153,443,192.168.1.204,45763,6,04/02/2020 09:57:26 AM,363,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,85399.44903581268,8264.462809917355,181.5,81.31727983645297,239.0,124.0,0,0,0,0,0,239.0,239.0,0.0,239.0,239.0,0,1,0,0,20,40,2754.8209366391184,5509.641873278237,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
172.105.215.210-192.168.1.204-443-45764-6,192.168.1.204,45764,172.105.215.210,443,6,04/02/2020 09:57:37 AM,3529054,6,11,626.0,4782.0,326.0,0.0,104.33333333333334,131.7295208625108,1440.0,0.0,434.72727272727263,582.0178847611285,1532.4220031770553,4.817154965608347,220565.875,743332.4950963173,2999907.0,1.0,404669.0,80933.8,72898.01200787303,140463.0,822.0,3529054.0,352905.4,932350.4133007313,3000117.0,1.0,0,0,0,0,120,244,1.700172340802946,3.1169826248054013,0.0,1440.0,300.44444444444446,484.6822151401912,234916.84967320258,0,1,0,0,0,0,0,0,1.0,318.11764705882354,104.33333333333333,434.72727272727275,0,0,0,0,0,0,6,626,11,4782,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
142.250.4.188-192.168.1.204-5228-45409-6,192.168.1.204,45409,142.250.4.188,5228,6,04/02/2020 09:56:07 AM,90202061,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.033258663568673894,0.06651732713734779,1.80404122E7,2.4613181152172826E7,4.5004445E7,62414.0,4.5063571E7,4.5063571E7,0.0,4.5063571E7,4.5063571E7,9.0202061E7,3.0067353666666668E7,2.5984219983696286E7,4.5071841E7,63361.0,0,0,0,0,40,116,0.022172442379115927,0.04434488475823185,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,255,2,0,62887.5,669.6301217836605,63361.0,62414.0,4.5002801E7,2324.9670965413684,4.5004445E7,4.5001157E7,No Label
172.105.215.210-192.168.1.204-443-45765-6,192.168.1.204,45765,172.105.215.210,443,6,04/02/2020 09:58:37 AM,3831056,7,14,756.0,5716.0,326.0,0.0,108.0,120.64272322302189,1440.0,0.0,408.2857142857143,555.0404598656859,1689.3514477470442,5.481517367535218,191552.8,669764.1903954429,3008702.0,1.0,690810.0,115135.0,150683.868903078,392276.0,485.0,3831056.0,294696.6153846154,823808.6125318124,3008833.0,1.0,0,0,0,0,152,316,1.8271724558450726,3.654344911690145,0.0,1440.0,294.1818181818182,468.21348777013054,219223.87012987016,0,1,0,0,0,0,0,0,2.0,308.1904761904762,108.0,408.2857142857143,0,0,0,0,0,0,7,756,14,5716,-1,254,4,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-52.114.128.9-45766-443-6,192.168.1.204,45766,52.114.128.9,443,6,04/02/2020 09:58:51 AM,999780,9,8,3186.0,4440.0,1440.0,0.0,354.0,615.5796049253094,1440.0,0.0,555.0,669.4328089616506,7627.67808917962,17.003740822981054,62486.25000000001,97958.41741848085,230977.0,17.0,780466.0,97558.25,122613.5041779074,277656.0,17.0,904695.0,129242.14285714287,120298.6914883513,232561.0,98.0,0,0,0,0,180,184,9.001980435695852,8.001760387285202,0.0,1440.0,423.66666666666663,619.7556444466878,384097.05882352934,0,1,0,0,0,0,0,0,0.0,448.5882352941176,354.0,555.0,0,0,0,0,0,0,9,3186,8,4440,-1,1023,5,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2020 09:56:22 AM,57613015,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03471437833968592,5.7613015E7,0.0,5.7613015E7,5.7613015E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01735718916984296,0.01735718916984296,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5.7613015E7,0.0,5.7613015E7,5.7613015E7,No Label
